exp_name,hp_tag,model_type,phys_source,recipe_aug_mode,phys7_mode,split_seed,train_seed,best_metric_name,best_metric_value,best_epoch,best_val,best_val_r2,best_val_loss_at_best,test_loss_norm,overall_mae_nm,overall_r2,min_pf_r2,time_min,out_dir,ckpt_path,family_mode,hp_epochs,hp_lr,hp_weight_decay,hp_early_patience,hp_tf_d_model,hp_tf_layers,hp_tf_dropout,hp_select_best_by,hp_loss_type,hp_huber_beta
gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_zmin_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,gru,stageA_pred,time,full,3,42,val_r2,0.943768550547526,25,0.943768550547526,0.943768550547526,0.06418392388150096,0.015418169321492314,65.13038277626038,0.9849659539092398,0.972756677956721,0.22501728534698487,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_zmin_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_zmin_s3/best.pth,zmin,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,gru,stageA_pred,time,full,3,42,val_r2,0.8353596323183126,147,0.8353596323183126,0.8353596323183126,0.1313245315104723,0.04389635333791375,12.847060337662697,0.9580692417897911,0.9548648537518145,0.6225855509440105,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h0_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h0_s3/best.pth,h0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h1_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,gru,stageA_pred,time,full,3,42,val_r2,0.82012282302709,120,0.82012282302709,0.82012282302709,0.15406221896409988,0.07165115233510733,17.156705260276794,0.9326121554114172,0.9338678624680418,0.538183597723643,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h1_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h1_s3/best.pth,h1,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,gru,stageA_pred,time,full,3,42,val_r2,0.8587559768245419,119,0.8587559768245419,0.8587559768245419,0.11829112470149994,0.03316243411973119,6.862793117761612,0.9724773140451356,0.9611950574645834,0.5270155707995097,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d0_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d0_s3/best.pth,d0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d1_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,gru,stageA_pred,time,full,3,42,val_r2,0.8254584297211548,65,0.8254584297211548,0.8254584297211548,0.146505955606699,0.05259860306978226,8.24914500117302,0.9552052148804634,0.9412989816841955,0.34221526781717937,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d1_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d1_s3/best.pth,d1,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_w_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,gru,stageA_pred,time,full,3,42,val_r2,0.8746962668757554,59,0.8746962668757554,0.8746962668757554,0.13908420782536268,0.03345116646960378,20.533548668026924,0.9696538386745116,0.9683689855402624,0.3168783148129781,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_w_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/gru_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_w_s3/best.pth,w,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_zmin_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,mlp,stageA_pred,time,full,3,42,val_r2,0.9480539337052382,80,0.9480539337052382,0.9480539337052382,0.06644404213875532,0.014400019310414791,63.85571509599686,0.9862394607569418,0.9734395480533912,0.22968538204828898,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_zmin_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_zmin_s3/best.pth,zmin,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,mlp,stageA_pred,time,full,3,42,val_r2,0.8532165031960828,95,0.8532165031960828,0.8532165031960828,0.13474605791270733,0.0412851101718843,14.39356617629528,0.9609751140841458,0.9554247754925443,0.2665392835934957,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h0_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h0_s3/best.pth,h0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h1_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,mlp,stageA_pred,time,full,3,42,val_r2,0.8438827573945663,77,0.8438827573945663,0.8438827573945663,0.15024483762681484,0.05800150241702795,16.91172830760479,0.9458531987716703,0.9412873713533821,0.22687536478042603,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h1_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_h1_s3/best.pth,h1,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,mlp,stageA_pred,time,full,3,42,val_r2,0.8696021511608184,78,0.8696021511608184,0.8696021511608184,0.11980423983186483,0.02646266669034958,6.347981747239828,0.976976341567231,0.9683756190608199,0.22839536666870117,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d0_s3,/Users/nyx.wang/workspace/bosch/code/runs_stageB_backbone_ablation_v9/mlp_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_stA_t_full_d0_s3/best.pth,d0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
