arm,family,n_seeds,test_r2_mean,test_r2_std
ae7,d0,3,0.8744061840698967,0.01850220812187543
ae7,d1,3,0.830277528940015,0.02495896068935629
ae7,h0,3,0.8681287330535307,0.005085365563142198
ae7,h1,3,0.8743859086054799,0.01006903821102933
ae7,w,3,0.8293556138416475,0.01012269819154099
ae7,zmin,3,0.9600914841313276,0.010699643495166776
pca7,d0,3,0.8738604378848561,0.04091357593020381
pca7,d1,3,0.8177022000991617,0.04388839025639565
pca7,h0,3,0.8700478397627621,0.008966259943062774
pca7,h1,3,0.8796586401721864,0.016159384699229534
pca7,w,3,0.8088967890674597,0.03894549650538896
pca7,zmin,3,0.9632777982398922,0.002745830123367085
phys7,d0,3,0.8990509615231005,0.02267262369411879
phys7,d1,3,0.8536822605442377,0.012985239381533531
phys7,h0,3,0.8830740027458702,0.010186173189276759
phys7,h1,3,0.8942933984887077,0.007172584267331974
phys7,w,3,0.8619201220666689,0.012310610456355701
phys7,zmin,3,0.9563323288061989,0.007176527664554416
