exp_name,hp_tag,model_type,phys_source,recipe_aug_mode,phys7_mode,split_seed,train_seed,best_metric_name,best_metric_value,best_epoch,best_val,best_val_r2,best_val_loss_at_best,test_loss_norm,overall_mae_nm,overall_r2,min_pf_r2,time_min,out_dir,ckpt_path,family_mode,hp_epochs,hp_lr,hp_weight_decay,hp_early_patience,hp_tf_d_model,hp_tf_layers,hp_tf_dropout,hp_select_best_by,hp_loss_type,hp_huber_beta
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_zmin_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,none,time,full,3,42,val_r2,0.9426362023198622,62,0.9426362023198622,0.9426362023198622,0.06614536978304386,0.016248555737547576,64.98144567012787,0.984758446272767,0.9689879411785888,0.30128475427627566,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_zmin_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_zmin_s3/best.pth,zmin,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_h0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,none,time,full,3,42,val_r2,0.8844658075724687,199,0.8844658075724687,0.8844658075724687,0.1223326325416565,0.054388434160500765,12.32133898884058,0.9468273883573098,0.9507359970591716,0.596810253461202,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_h0_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_h0_s3/best.pth,h0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_h1_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,none,time,full,3,42,val_r2,0.7930439001745927,81,0.7930439001745927,0.7930439001745927,0.1668521035462618,0.08997238427400589,18.437357619404793,0.9158990126531216,0.918906438667617,0.3372046192487081,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_h1_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_h1_s3/best.pth,h1,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_d0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,none,time,full,3,42,val_r2,0.8321537137404116,28,0.8321537137404116,0.8321537137404116,0.14171495288610458,0.0244997744448483,6.343112327158451,0.9779546261025382,0.9701428482645835,0.17751610279083252,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_d0_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_d0_s3/best.pth,d0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_d1_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,none,time,full,3,42,val_r2,0.8053255341362751,65,0.8053255341362751,0.8053255341362751,0.148504339158535,0.05302284797653556,8.15165601670742,0.9553305186655083,0.9444376031671096,0.2919826825459798,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_d1_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_d1_s3/best.pth,d1,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_w_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,none,time,full,3,42,val_r2,0.8676154447627169,60,0.8676154447627169,0.8676154447627169,0.14794748276472092,0.04154380923137069,22.023774683475494,0.9635137605990891,0.9623793872315135,0.2715274969736735,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_w_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_no_t_full_w_s3/best.pth,w,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_zmin_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,only_phys,time,full,3,42,val_r2,0.5999342268289417,18,0.5999342268289417,0.5999342268289417,0.3998083770275116,0.5298914313316345,420.4333424568176,0.5047108956597164,0.10343608525112147,0.1738619327545166,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_zmin_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_zmin_s3/best.pth,zmin,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_h0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,only_phys,time,full,3,42,val_r2,0.3017865927086235,43,0.3017865927086235,0.3017865927086235,0.58245450258255,0.9245689213275909,78.89605313539505,0.15339679285051455,0.1146087304425533,0.2195441484451294,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_h0_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_h0_s3/best.pth,h0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_h1_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,only_phys,time,full,3,42,val_r2,0.25704456637143724,72,0.25704456637143724,0.25704456637143724,0.5824804380536079,0.9861757606267929,81.19478821754456,0.08593563379496272,0.0405959334066166,0.30857369899749754,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_h1_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_h1_s3/best.pth,h1,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_d0_s3,lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1,transformer,only_phys,time,full,3,42,val_r2,0.32322306848022897,38,0.32322306848022897,0.32322306848022897,0.521087147295475,0.8083820715546608,38.89182209968567,0.2676794410908939,0.13922255960515548,0.20958951711654664,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_d0_s3,runs_stageB_interface_ablation_v11/tf_lr0p001_wd0p0001_do0p1_dm256_L2_hb0p1_op_t_full_d0_s3/best.pth,d0,200,0.001,0.0001,30,256,2,0.1,val_r2,huber,0.1
