phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss0,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.5164105418434649,27.64679718017578,12.640802562236786,18.654762268066406,24,1999,0.38381266593933105,2026,0,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss0,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,0.5687001072493811,26.056425094604492,11.725229024887085,20.712234497070312,24,1999,0.42061588168144226,2026,0,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss0,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,0.4640954665948309,32.73713684082031,13.818421959877014,23.96222686767578,24,2,0.4412355124950409,2026,0,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss1,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.5904531306105215,44.76187515258789,23.432619869709015,34.278831481933594,24,208,0.19711418449878693,2026,1,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss1,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,0.5873162763694015,45.0146484375,23.653216660022736,35.60670471191406,24,664,0.20136244595050812,2026,1,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss1,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,0.5568744542695538,47.301334381103516,24.715061485767365,40.448394775390625,24,1998,0.23204900324344635,2026,1,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss2,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,-0.18938776927572976,32.93549728393555,17.726241052150726,23.933006286621094,24,974,0.1987379938364029,2026,2,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss2,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,-0.2065909071178671,33.219940185546875,17.787857353687286,22.019180297851562,24,1723,0.21598030626773834,2026,2,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss2,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,-0.2977840677459813,33.744842529296875,18.0670365691185,23.08612823486328,24,2000,0.2617371678352356,2026,2,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss3,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,-1.5625770793608127,49.0858268737793,23.836158215999603,33.340858459472656,24,367,0.20252375304698944,2026,3,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss3,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,-1.7008099183633676,50.7326545715332,24.651825428009033,34.43946075439453,24,1034,0.20609210431575775,2026,3,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss3,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,-2.1404894313635845,55.12186813354492,26.643818616867065,37.779541015625,24,1992,0.23670363426208496,2026,3,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss4,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7753890050129438,31.622154235839844,11.20409071445465,26.731246948242188,24,1939,0.4605109691619873,2026,4,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss4,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,0.778448289805048,31.094240188598633,10.969006270170212,25.396507263183594,24,1959,0.48899564146995544,2026,4,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss4,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,0.6071000134147861,37.499122619628906,11.927732080221176,21.89954376220703,24,124,0.495991587638855,2026,4,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss5,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.5259825003997662,28.524932861328125,11.625510454177856,28.731491088867188,24,1966,0.06156254932284355,2026,5,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss5,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,0.49558872026979395,28.9738826751709,11.735522747039795,27.581466674804688,24,1994,0.06980811059474945,2026,5,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss5,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,0.46836994207397065,29.911264419555664,12.453339248895645,20.895103454589844,24,1658,0.0723152831196785,2026,5,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss6,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7074991524848264,28.952550888061523,11.555559188127518,28.40045166015625,24,384,0.08108753710985184,2026,6,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr3e-05_l21e+00_ep2000_ss6,stageB_best,head_ln,full,3e-05,0.0001,1.0,0.01,huber,1.0,0.6784289290471255,30.404550552368164,11.989057809114456,33.61613464355469,24,492,0.08084966987371445,2026,6,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-05_l21e+00_ep2000_ss6,stageB_best,head_ln,full,1e-05,0.0001,1.0,0.01,huber,1.0,0.650037084451166,31.734649658203125,12.42484524846077,33.42692565917969,24,1732,0.08444292098283768,2026,6,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
hunt,2000,h1,p1_h1_head_ln_lr1e-04_l21e+01_ep2000_ss7,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7107669748348469,32.278602600097656,12.223618477582932,24.621002197265625,24,5,0.5729288458824158,2026,7,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
