phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v7,200,zmin,v14_c-i_sim_only_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.8479639178219838,192.7366485595703,8.836014568805695,109.25018310546875,8,200,0.04373842333866791,2026,2026,v7fixed8,43,43,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v14_c-ii_scratch_zmin,scratch,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.4337572846023462,394.696533203125,19.055967032909393,333.169189453125,8,499,0.01417541111269119,2026,2026,v7fixed8,43,43,8,test,0,scratch
v7,500,zmin,v14_c-iii_FT_noL2SP_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.647928474324706,288.53448486328125,13.003478944301605,210.4212646484375,8,493,0.019489436505616388,2026,2026,v7fixed8,43,43,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v14_c-iv_FT_noprog_zmin,stageB_best,full,full,1e-05,0.0001,0.1,0.1,huber,1.0,0.6478866443931921,288.54461669921875,13.003773987293243,210.42718505859375,8,493,0.01949145190883428,2026,2026,v7fixed8,43,43,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v14_c-v_prog_only_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.6797245209819832,276.6104736328125,12.517422437667847,213.353515625,8,500,0.022622267630967228,2026,2026,v7fixed8,43,43,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v14_c-vii_full_zmin,stageB_best,full,full,1e-05,0.0001,0.1,0.1,huber,1.0,0.6797896353713602,276.57220458984375,12.515226006507874,213.3328857421875,8,500,0.022623148693872445,2026,2026,v7fixed8,43,43,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,200,d1,v14_c-i_sim_only_d1,stageB_best,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,0.7314750418253234,9.413127899169922,24.262626469135284,8.109319686889648,24,22,0.23963867127895355,2026,177,compat85,71,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7,500,d1,v14_c-ii_scratch_d1,scratch,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,-0.008646444524250674,16.53507423400879,31.251415610313416,13.686010360717773,24,3,0.1789003610610962,2026,177,compat85,71,4,8,test,0,scratch
v7,500,d1,v14_c-iii_FT_noL2SP_d1,stageB_best,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,0.7295158106187729,9.46601390838623,24.435622990131378,8.383647918701172,24,22,0.23886613547801971,2026,177,compat85,71,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7,500,d1,v14_c-iv_FT_noprog_d1,stageB_best,full,full,0.0001,0.0001,0.1,0.1,huber,1.0,0.7292933678864103,9.469832420349121,24.444949626922607,8.376914978027344,24,22,0.23879356682300568,2026,177,compat85,71,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7,500,d1,v14_c-v_prog_only_d1,stageB_best,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,0.6706294257573919,11.182948112487793,27.824172377586365,9.768104553222656,24,97,0.25091856718063354,2026,177,compat85,71,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7,500,d1,v14_c-vii_full_d1,stageB_best,full,full,0.0001,0.0001,0.1,0.1,huber,1.0,0.6707487181283944,11.180462837219238,27.818962931632996,9.759416580200195,24,97,0.250971257686615,2026,177,compat85,71,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7,-1,zmin,v14b_c-i_true0_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,-1.7730263884552078,995.515869140625,48.92553985118866,901.09130859375,8,0,,2026,2026,v7fixed8,43,43,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,-1,d1,v14b_c-i_true0_d1,stageB_best,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,-0.3100129261208999,22.031251907348633,45.846953988075256,18.68218231201172,24,0,,2026,177,compat85,71,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
