phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v7,200,zmin,v7_c-i_sim_only_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.8095753750738087,240.062255859375,11.544795334339142,197.6263427734375,8,199,0.03238902652325729,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v7_c-ii_scratch_zmin,scratch,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.41235439004571517,411.613525390625,20.68994492292404,410.5223388671875,8,483,0.007016754573366295,2026,2026,v7fixed8,45,45,8,test,0,scratch
v7,500,zmin,v7_c-iii_FT_noL2SP_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.6822240926076623,284.10888671875,12.61075735092163,188.87451171875,8,499,0.019294867513546404,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v7_c-iv_FT_noprog_zmin,stageB_best,full,full,1e-05,0.0001,0.1,0.1,huber,1.0,0.6820475934318724,284.1123046875,12.608487904071808,188.8753662109375,8,499,0.019294585724840847,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v7_c-v_prog_only_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.6615544345847038,294.06597900390625,13.068817555904388,192.6883544921875,8,492,0.019207424172539806,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,500,zmin,v7_c-vii_full_zmin,stageB_best,full,full,1e-05,0.0001,0.1,0.1,huber,1.0,0.6614842826924237,294.0667724609375,13.067150115966797,192.70684814453125,8,492,0.019205005761856835,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7,200,w,v7_c-i_sim_only_w,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.7886636588736518,33.101524353027344,9.322718530893326,29.135757446289062,24,200,0.12432878754205173,2026,2026,v7fixed8,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
v7,500,w,v7_c-ii_scratch_w,scratch,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.8050489651251204,30.223119735717773,8.66188108921051,26.688430786132812,24,493,0.0731008146992988,2026,2026,v7fixed8,34,34,8,test,0,scratch
v7,500,w,v7_c-iii_FT_noL2SP_w,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.7103079969352704,38.834564208984375,10.891907662153244,38.05186462402344,24,500,0.07312317927264506,2026,2026,v7fixed8,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
v7,500,w,v7_c-iv_FT_noprog_w,stageB_best,full,full,1e-05,0.0001,0.1,0.1,huber,1.0,0.7103534109699892,38.83218765258789,10.891246050596237,38.04547119140625,24,500,0.07312661005804937,2026,2026,v7fixed8,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
