phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp0_rs2026,stageB_best,full,full,0.0003,0.0001,0.0,0.1,huber,1.0,0.5364442008173114,13.509676933288574,32.28646218776703,12.135648727416992,24,7,0.2280077189207077,2026,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp0_rs42,stageB_best,full,full,0.0003,0.0001,0.0,0.1,huber,1.0,0.42004281512357233,14.934266090393066,36.28798425197601,13.404315948486328,24,6,0.2224065214395523,42,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp0_rs123,stageB_best,full,full,0.0003,0.0001,0.0,0.1,huber,1.0,0.5023828029424011,13.499981880187988,32.57335722446442,12.310806274414062,24,6,0.1992686539888382,123,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp0_rs7,stageB_best,full,full,0.0003,0.0001,0.0,0.1,huber,1.0,0.5596857788370794,12.43932056427002,32.073017954826355,9.087089538574219,24,6,0.19269120693206787,7,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp10_rs2026,stageB_best,full,full,0.0003,0.0001,10.0,0.1,huber,1.0,0.543125075235542,13.403460502624512,32.052937150001526,11.998254776000977,24,7,0.2288937121629715,2026,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp10_rs42,stageB_best,full,full,0.0003,0.0001,10.0,0.1,huber,1.0,0.4207685383086658,14.922017097473145,36.25365197658539,13.373527526855469,24,6,0.22242796421051025,42,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp10_rs123,stageB_best,full,full,0.0003,0.0001,10.0,0.1,huber,1.0,0.48445257264051533,13.753050804138184,33.08015167713165,12.59860610961914,24,6,0.19935864210128784,123,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,500,d1,v7d_d1_full_lr3e-04_l2sp10_rs7,stageB_best,full,full,0.0003,0.0001,10.0,0.1,huber,1.0,0.563038520680921,12.39664077758789,31.94601535797119,9.046834945678711,24,6,0.1927579790353775,7,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7d,2000,h1,v7d_h1_head_ln_lr1e-04_l2sp0_rs2026,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.8910848475483265,16.25417137145996,7.060302048921585,15.483444213867188,24,649,0.1552087515592575,2026,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7d,2000,h1,v7d_h1_head_ln_lr1e-04_l2sp0_rs42,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.902794204264498,14.925814628601074,6.551571935415268,14.102607727050781,24,394,0.1715593785047531,42,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7d,2000,h1,v7d_h1_head_ln_lr1e-04_l2sp0_rs123,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.8909041260594566,16.08495330810547,6.716165691614151,17.567176818847656,24,889,0.16036051511764526,123,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7d,2000,h1,v7d_h1_head_ln_lr1e-04_l2sp10_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8943984937935531,15.728859901428223,6.881493330001831,15.750038146972656,24,649,0.15627002716064453,2026,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7d,2000,h1,v7d_h1_head_ln_lr1e-04_l2sp10_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.9014289698398855,14.774852752685547,6.51259645819664,14.249786376953125,24,394,0.17235851287841797,42,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7d,2000,h1,v7d_h1_head_ln_lr1e-04_l2sp10_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8984020568910188,15.242114067077637,6.521181017160416,15.418243408203125,24,405,0.16154538094997406,123,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
