phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v8lc,3000,zmin,v8_t42_zmin_rs2026,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.6811864043244611,277.2149658203125,13.390789926052094,208.04095458984375,8,3000,0.2548520221478409,2026,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,3000,zmin,v8_t42_zmin_rs42,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.6859579643891084,276.59466552734375,13.488823175430298,199.56829833984375,8,3000,0.25746112854944336,42,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,3000,zmin,v8_t42_zmin_rs123,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.7099241083395973,273.7832946777344,13.4041428565979,192.66900634765625,8,3000,0.2620550137427118,123,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,2000,h1,v8_t42_h1_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6751912955965214,24.20287322998047,10.72666049003601,16.31090545654297,24,1807,0.13957805879828003,2026,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v8lc,2000,h1,v8_t42_h1_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6808709411333778,23.577285766601562,10.465171188116074,15.311737060546875,24,1701,0.1358613950303859,42,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v8lc,2000,h1,v8_t42_h1_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6817672130713606,24.042160034179688,10.646969825029373,14.454399108886719,24,1846,0.1348393987864256,123,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v8lc,2000,d1,v8_t42_d1_rs2026,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.07150558289435616,13.781296730041504,31.471291184425354,12.506131172180176,24,1992,0.25615463757680523,2026,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v8lc,2000,d1,v8_t42_d1_rs42,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.08315478294867817,13.550312995910645,30.873584747314453,11.886981010437012,24,1996,0.2497188574117091,42,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v8lc,2000,d1,v8_t42_d1_rs123,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.1340742345338337,13.206894874572754,30.075430870056152,12.577231407165527,24,2000,0.24471767764124605,123,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v8lc,1000,w,v8_t42_w_rs2026,stageB_best,head_ln,full,0.0003,0.0001,0.0,0.01,huber,1.0,0.8253458029228682,29.551549911499023,8.242794871330261,29.268783569335938,24,999,0.14329669314126173,2026,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
v8lc,1000,w,v8_t42_w_rs42,stageB_best,head_ln,full,0.0003,0.0001,0.0,0.01,huber,1.0,0.8075727367404235,30.8997802734375,8.561864495277405,24.96966552734375,24,972,0.14623818380965126,42,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
v8lc,1000,w,v8_t42_w_rs123,stageB_best,head_ln,full,0.0003,0.0001,0.0,0.01,huber,1.0,0.805563627136237,31.34407615661621,8.701752871274948,25.525650024414062,24,910,0.1441643935524755,123,2026,v8lc,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
v8lc,3000,zmin,v8_t48_zmin_rs2026,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.7088329292385325,284.4200744628906,13.251356780529022,176.36517333984375,8,3000,0.22221748009324074,2026,2026,v8lc,40,40,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,3000,zmin,v8_t48_zmin_rs42,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.7209142418490964,282.6519775390625,13.307282328605652,199.927001953125,8,3000,0.21782055944204332,42,2026,v8lc,40,40,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,3000,zmin,v8_t48_zmin_rs123,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.7334463923120691,281.792724609375,13.290372490882874,214.73779296875,8,3000,0.22911295518279076,123,2026,v8lc,40,40,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,2000,h1,v8_t48_h1_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6474468165780038,26.74454689025879,12.097286432981491,19.969284057617188,24,1987,0.13128426317125558,2026,2026,v8lc,40,40,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
