phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v8lc,3000,zmin,v8_t85_zmin_rs2026,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.8515945954235891,215.91221618652344,10.643245279788971,155.008056640625,8,3000,0.17571820877492428,2026,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,3000,zmin,v8_t85_zmin_rs42,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.8832765986123657,196.19308471679688,9.871925413608551,140.43939208984375,8,3000,0.17839803007480345,42,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,3000,zmin,v8_t85_zmin_rs123,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.8705805240734428,204.63140869140625,10.319344699382782,181.10369873046875,8,3000,0.17802915771148706,123,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v8lc,2000,h1,v8_t85_h1_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6124563411200408,28.88857078552246,13.032923638820648,20.788009643554688,24,1267,0.12308397310736932,2026,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v8lc,2000,h1,v8_t85_h1_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6233877725893819,28.500391006469727,12.877009809017181,20.64977264404297,24,1726,0.11702048954995055,42,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v8lc,2000,h1,v8_t85_h1_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6166797511775837,28.503740310668945,12.929387390613556,21.71453094482422,24,1856,0.11711105665093974,123,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v8lc,2000,d1,v8_t85_d1_rs2026,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.290058261439498,11.664679527282715,26.2405127286911,10.915596961975098,24,1968,0.16166245035435023,2026,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v8lc,2000,d1,v8_t85_d1_rs42,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.2710128825646698,11.82829761505127,26.84536576271057,10.486959457397461,24,1990,0.15632361271663717,42,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v8lc,2000,d1,v8_t85_d1_rs123,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.26442133741810925,12.142531394958496,27.202296257019043,12.28713607788086,24,1978,0.1554514783385553,123,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v8lc,1000,w,v8_t85_w_rs2026,stageB_best,head_ln,full,0.0003,0.0001,0.0,0.01,huber,1.0,0.6455742211618374,40.30503463745117,12.694166600704193,35.86181640625,24,912,0.17158056066469535,2026,2026,v8lc,75,75,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
