recipe,temp_C,family,cycle,cycle_value,pred_nm
B113,-20,zmin,1,1.0,0.0
B113,-20,zmin,2,2.0,0.0
B113,-20,zmin,3,3.0,0.0
B113,-20,zmin,4,4.0,0.0
B113,-20,zmin,5,5.0,0.0
B113,-20,zmin,6,6.0,0.0
B113,-20,zmin,7,7.0,0.0
B113,-20,zmin,8,8.0,10.95546817779541
B113,-20,zmin,9,9.0,2055.20263671875
B114,-20,zmin,1,1.0,0.0
B114,-20,zmin,2,2.0,0.0
B114,-20,zmin,3,3.0,0.0
B114,-20,zmin,4,4.0,0.0
B114,-20,zmin,5,5.0,0.5835592746734619
B114,-20,zmin,6,6.0,254.59632873535156
B114,-20,zmin,7,7.0,498.268310546875
B114,-20,zmin,8,8.0,731.05810546875
B114,-20,zmin,9,9.0,2461.031005859375
B116,-20,zmin,1,1.0,0.0
B116,-20,zmin,2,2.0,0.0
B116,-20,zmin,3,3.0,0.0
B116,-20,zmin,4,4.0,0.0
B116,-20,zmin,5,5.0,244.9424591064453
B116,-20,zmin,6,6.0,536.4461059570312
B116,-20,zmin,7,7.0,811.2040405273438
B116,-20,zmin,8,8.0,1078.633544921875
B116,-20,zmin,9,9.0,2662.343017578125
B117,-20,zmin,1,1.0,0.0
B117,-20,zmin,2,2.0,0.0
B117,-20,zmin,3,3.0,228.32748413085938
B117,-20,zmin,4,4.0,707.3109130859375
B117,-20,zmin,5,5.0,1163.8282470703125
B117,-20,zmin,6,6.0,1559.1435546875
B117,-20,zmin,7,7.0,1928.7852783203125
B117,-20,zmin,8,8.0,2286.07763671875
B117,-20,zmin,9,9.0,3338.34619140625
B118,-20,zmin,1,1.0,0.0
B118,-20,zmin,2,2.0,183.5752410888672
B118,-20,zmin,3,3.0,898.6243286132812
B118,-20,zmin,4,4.0,1516.9420166015625
B118,-20,zmin,5,5.0,2109.582275390625
B118,-20,zmin,6,6.0,2666.110107421875
B118,-20,zmin,7,7.0,3193.80908203125
B118,-20,zmin,8,8.0,3762.489990234375
B118,-20,zmin,9,9.0,4154.59423828125
B119,-20,zmin,1,1.0,0.0
B119,-20,zmin,2,2.0,386.91943359375
B119,-20,zmin,3,3.0,970.8027954101562
B119,-20,zmin,4,4.0,1428.4598388671875
B119,-20,zmin,5,5.0,1889.9405517578125
B119,-20,zmin,6,6.0,2295.0869140625
B119,-20,zmin,7,7.0,2679.876953125
B119,-20,zmin,8,8.0,3039.727294921875
B119,-20,zmin,9,9.0,3727.955810546875
B123,-10,zmin,1,1.0,0.0
B123,-10,zmin,2,2.0,0.0
B123,-10,zmin,3,3.0,0.0
B123,-10,zmin,4,4.0,0.0
B123,-10,zmin,5,5.0,0.0
B123,-10,zmin,6,6.0,0.0
B123,-10,zmin,7,7.0,0.0
B123,-10,zmin,8,8.0,0.0
B123,-10,zmin,9,9.0,2024.8175048828125
B124,-10,zmin,1,1.0,0.0
B124,-10,zmin,2,2.0,0.0
B124,-10,zmin,3,3.0,0.0
B124,-10,zmin,4,4.0,0.0
B124,-10,zmin,5,5.0,0.0
B124,-10,zmin,6,6.0,0.0
B124,-10,zmin,7,7.0,0.0
B124,-10,zmin,8,8.0,0.0
B124,-10,zmin,9,9.0,2011.718017578125
B125,-10,zmin,1,1.0,0.0
B125,-10,zmin,2,2.0,0.0
B125,-10,zmin,3,3.0,0.0
B125,-10,zmin,4,4.0,0.0
B125,-10,zmin,5,5.0,0.0
B125,-10,zmin,6,6.0,58.5914421081543
B125,-10,zmin,7,7.0,277.05389404296875
B125,-10,zmin,8,8.0,485.314208984375
B125,-10,zmin,9,9.0,2321.048583984375
B126,-10,zmin,1,1.0,0.0
B126,-10,zmin,2,2.0,0.0
B126,-10,zmin,3,3.0,0.0
B126,-10,zmin,4,4.0,0.0
B126,-10,zmin,5,5.0,113.35249328613281
B126,-10,zmin,6,6.0,384.76373291015625
B126,-10,zmin,7,7.0,644.3101196289062
B126,-10,zmin,8,8.0,891.9775390625
B126,-10,zmin,9,9.0,2555.644287109375
B127,-10,zmin,1,1.0,0.0
B127,-10,zmin,2,2.0,0.0
B127,-10,zmin,3,3.0,5.3366570472717285
B127,-10,zmin,4,4.0,442.46826171875
B127,-10,zmin,5,5.0,853.2169799804688
B127,-10,zmin,6,6.0,1225.5501708984375
B127,-10,zmin,7,7.0,1580.46435546875
B127,-10,zmin,8,8.0,1924.6495361328125
B127,-10,zmin,9,9.0,3138.6572265625
B128,-10,zmin,1,1.0,0.0
B128,-10,zmin,2,2.0,172.8889923095703
B128,-10,zmin,3,3.0,866.5648803710938
B128,-10,zmin,4,4.0,1490.5469970703125
B128,-10,zmin,5,5.0,2051.731689453125
B128,-10,zmin,6,6.0,2580.74951171875
B128,-10,zmin,7,7.0,3102.392578125
B128,-10,zmin,8,8.0,3669.310546875
B128,-10,zmin,9,9.0,4111.9169921875
B132,-10,zmin,1,1.0,0.0
B132,-10,zmin,2,2.0,0.0
