recipe,temp_C,zmin@cycle9_nm,h1@cycle3_nm,h1@cycle5_nm,h1@cycle9_nm,d1@cycle3_nm,d1@cycle5_nm,d1@cycle9_nm,w@cycle1_nm,w@cycle3_nm,w@cycle5_nm,w@cycle9_nm
B113,-20,2055.20263671875,187.03509521484375,178.44003295898438,220.58670043945312,44.1639404296875,32.69170379638672,15.810126304626465,355.4002990722656,341.3688049316406,334.0663146972656,294.53265380859375
B114,-20,2461.031005859375,225.0779571533203,204.25982666015625,264.79779052734375,42.26289749145508,29.072248458862305,14.374671936035156,353.5164489746094,336.40740966796875,328.683837890625,284.0982971191406
B116,-20,2662.343017578125,240.915283203125,215.04550170898438,265.35601806640625,48.77434539794922,33.37442398071289,14.628125190734863,374.3006591796875,357.9035949707031,349.86773681640625,318.6412048339844
B117,-20,3338.34619140625,346.1451416015625,279.6518859863281,380.3930969238281,99.26469421386719,66.8868408203125,41.81268310546875,573.4489135742188,540.2948608398438,525.8226928710938,525.7633666992188
B118,-20,4154.59423828125,437.6174621582031,334.1593322753906,438.5287170410156,135.56283569335938,93.67980194091797,62.70291519165039,630.8328857421875,603.4361572265625,583.18115234375,612.2021484375
B119,-20,3727.955810546875,34.89299011230469,82.11373901367188,93.71876525878906,124.24185180664062,90.9532699584961,49.79793167114258,602.3241577148438,588.3076171875,575.9469604492188,556.1323852539062
B123,-10,2024.8175048828125,175.87277221679688,169.63819885253906,214.8182373046875,46.18603515625,33.984046936035156,17.560203552246094,342.1145935058594,327.57305908203125,320.849609375,276.3597412109375
B124,-10,2011.718017578125,175.9772186279297,168.0905303955078,213.33673095703125,44.01585388183594,33.03831100463867,17.08086395263672,343.9866027832031,327.3753662109375,319.57513427734375,273.1905517578125
B125,-10,2321.048583984375,224.92758178710938,192.5651397705078,233.7698516845703,36.52958679199219,28.904199600219727,15.936464309692383,302.87225341796875,286.3854064941406,278.70458984375,225.52159118652344
B126,-10,2555.644287109375,234.52784729003906,208.60594177246094,272.1424560546875,47.088809967041016,31.27428436279297,14.564687728881836,365.2247009277344,347.20074462890625,339.05145263671875,302.4247741699219
B127,-10,3138.6572265625,334.0777893066406,269.0281982421875,366.67950439453125,86.9307632446289,60.38056564331055,38.291648864746094,520.4431762695312,487.7808837890625,471.1767883300781,481.6103515625
B128,-10,4111.9169921875,430.6566467285156,331.8006896972656,438.96966552734375,125.22183227539062,85.98827362060547,58.74164962768555,628.8184814453125,588.8621215820312,565.2192993164062,599.5247802734375
B132,-10,1931.4853515625,168.29269409179688,165.41879272460938,201.70181274414062,39.906925201416016,30.394134521484375,15.437331199645996,324.2941589355469,309.5267333984375,300.494384765625,248.85076904296875
B134,-10,2560.832763671875,222.73410034179688,205.18797302246094,253.39364624023438,54.28455352783203,37.9878044128418,16.835718154907227,369.9456787109375,351.1708679199219,341.7869873046875,304.2622985839844
B135,-10,3107.781005859375,380.8112487792969,270.39215087890625,323.82940673828125,47.80522918701172,57.59385681152344,37.84988784790039,514.8766479492188,463.1416931152344,432.9219970703125,417.87469482421875
B136,-10,2971.90869140625,39.5560417175293,96.17811584472656,95.98397064208984,86.97203826904297,64.3434066772461,40.09951400756836,532.2726440429688,513.3989868164062,503.30413818359375,466.7364501953125
B137,-10,3861.259033203125,473.0574951171875,329.1329650878906,374.96221923828125,98.07072448730469,85.31318664550781,56.5384635925293,680.4270629882812,639.5406494140625,597.2911376953125,570.0093383789062
B138,-10,4130.7412109375,458.0317687988281,337.8829345703125,419.03387451171875,103.0478744506836,73.87158203125,52.14187240600586,640.453125,565.7647094726562,533.702880859375,543.2985229492188
B143,0,2049.155029296875,174.9897918701172,172.99807739257812,208.1814422607422,44.58820724487305,33.07064437866211,15.334043502807617,341.6492614746094,328.65594482421875,321.02215576171875,272.79425048828125
B144,0,1743.7188720703125,143.11459350585938,147.60601806640625,179.7766571044922,33.73649597167969,27.982946395874023,15.867225646972656,273.5628967285156,252.98452758789062,251.90350341796875,207.94186401367188
B151,-20,3336.90966796875,366.04937744140625,289.8057861328125,345.7683410644531,120.11201477050781,84.13174438476562,51.56113815307617,621.7235717773438,599.8359985351562,570.0751342773438,560.863037109375
B166,-10,3335.910400390625,336.4251708984375,267.5083923339844,332.2817077636719,44.51474380493164,33.15084457397461,17.57280921936035,377.71295166015625,336.7240905761719,323.33282470703125,269.3117980957031
B168,-10,2395.9091796875,235.026611328125,210.00863647460938,286.4281311035156,63.903377532958984,45.64258575439453,27.106706619262695,428.92144775390625,410.51934814453125,402.3505554199219,386.3961486816406
B169,-10,2220.560791015625,207.3527069091797,190.12860107421875,255.8555908203125,55.235538482666016,42.191001892089844,25.038799285888672,396.88311767578125,377.3444519042969,367.1137390136719,341.1406555175781
B170,-10,2229.795654296875,206.7239227294922,188.42910766601562,257.2366638183594,52.83867263793945,39.527854919433594,23.951589584350586,380.6665344238281,363.83050537109375,354.7838439941406,324.68927001953125
B171,-10,1764.1719970703125,153.4486083984375,152.7288818359375,182.11856079101562,46.057640075683594,35.83184814453125,19.886070251464844,344.1588439941406,330.2735595703125,322.4638977050781,275.6024475097656
B173,-10,2096.673828125,195.81883239746094,183.242431640625,247.51718139648438,48.73324203491211,36.91279983520508,20.868370056152344,379.23748779296875,363.75152587890625,355.64288330078125,327.3267517089844
B174,-10,1639.014404296875,139.95516967773438,145.87539672851562,169.71763610839844,34.281288146972656,30.428058624267578,18.213552474975586,279.656005859375,259.92828369140625,258.3851318359375,213.64688110351562
B176,-10,3484.845703125,361.92742919921875,286.7958984375,386.5878601074219,104.36455535888672,69.50399017333984,44.77369689941406,572.0101318359375,524.3298950195312,513.6971435546875,520.9869384765625
B177,-10,3173.938232421875,322.69879150390625,265.9589538574219,364.2577819824219,89.53343963623047,63.684574127197266,35.47488021850586,517.9246826171875,478.2962646484375,475.98529052734375,472.23211669921875
B178,-10,4157.66748046875,468.20880126953125,340.41705322265625,415.11444091796875,83.39859771728516,77.58824157714844,58.55979919433594,662.327880859375,596.1986694335938,564.3706665039062,587.8878784179688
B180,-10,3508.0947265625,379.45361328125,303.00616455078125,365.2480163574219,144.83421325683594,105.57666778564453,67.31011199951172,625.3145751953125,619.1259155273438,595.1934204101562,586.2880859375
B181,-10,3188.599365234375,339.1702880859375,271.7064514160156,335.28033447265625,108.59486389160156,76.83792114257812,50.86663818359375,548.9774780273438,516.9583740234375,497.27044677734375,495.2884216308594
B182,-10,2592.636962890625,339.4380187988281,224.0513153076172,253.2876434326172,32.580963134765625,48.9030876159668,34.701778411865234,469.5495910644531,409.5666198730469,376.0340576171875,318.2062072753906
B183,-10,2286.07177734375,226.60899353027344,205.32412719726562,244.7638702392578,69.59024810791016,52.26766586303711,30.977495193481445,461.3045959472656,448.6557922363281,432.291748046875,401.7406921386719
