phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v24,1000,h1,v24_h1_n42_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.88085868373369,16.003320693969727,7.114159315824509,16.121238708496094,24,241,0.15810619294643402,2026,2026,v24,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n42_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.90251861060896,14.687809944152832,6.463669985532761,14.44525146484375,24,397,0.17532052099704742,42,2026,v24,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n42_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.901584541142054,14.83863353729248,6.352218985557556,16.038536071777344,24,405,0.16618198156356812,123,2026,v24,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n47_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.9053239412843027,14.611862182617188,6.4575813710689545,12.701065063476562,24,341,0.17938865721225739,2026,2026,v24,35,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n47_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.9046476976135238,13.77135944366455,5.93327172100544,12.821884155273438,24,351,0.19647283852100372,42,2026,v24,35,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n47_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.9072318098397162,14.39603328704834,6.084690988063812,13.589065551757812,24,389,0.17815494537353516,123,2026,v24,35,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n52_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8088755551298443,19.21811866760254,8.23976919054985,16.089157104492188,24,330,0.2100464552640915,2026,2026,v24,40,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n52_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7763391382945395,20.92161750793457,8.767672628164291,16.999725341796875,24,498,0.22282540798187256,42,2026,v24,40,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n52_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8285309883110505,17.94340705871582,7.488249242305756,13.962013244628906,24,492,0.20353548228740692,123,2026,v24,40,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n57_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7529435902407655,22.020370483398438,9.487173706293106,17.20423126220703,24,559,0.22171950340270996,2026,2026,v24,45,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n57_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7157329073210559,23.75079345703125,10.01841053366661,18.095718383789062,24,596,0.23569567501544952,42,2026,v24,45,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n57_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7538743984197693,21.943056106567383,9.046292304992676,18.99053955078125,24,455,0.20688790082931519,123,2026,v24,45,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n62_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7091240889045813,25.654870986938477,10.905323177576065,23.721298217773438,24,96,0.2301262468099594,2026,2026,v24,50,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n62_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.6747761911686851,25.955322265625,10.75092926621437,19.605979919433594,24,306,0.239019513130188,42,2026,v24,50,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n62_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.742273880156753,22.538909912109375,9.256172180175781,19.966506958007812,24,311,0.20916001498699188,123,2026,v24,50,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n67_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7490386042186472,21.76180076599121,9.437838196754456,16.55865478515625,24,450,0.23081766068935394,2026,2026,v24,55,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n67_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7013513730914174,24.42546844482422,10.265540331602097,18.539138793945312,24,379,0.24711500108242035,42,2026,v24,55,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n67_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7599356314116426,21.702835083007812,8.98662805557251,18.2642822265625,24,590,0.21793420612812042,123,2026,v24,55,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n72_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7863903488903754,20.57016944885254,8.965238183736801,16.266250610351562,24,407,0.22820712625980377,2026,2026,v24,60,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n72_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.7709688259400693,21.424896240234375,9.107469767332077,18.161270141601562,24,433,0.24943113327026367,42,2026,v24,60,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n72_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8305463768913576,17.770322799682617,7.5753264129161835,14.595634460449219,24,609,0.22548417747020721,123,2026,v24,60,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n77_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8397133826589116,17.8125057220459,7.937759160995483,14.116256713867188,24,394,0.1801859587430954,2026,2026,v24,65,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n77_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8289363513339307,18.834585189819336,8.308140188455582,15.151718139648438,24,331,0.20506460964679718,42,2026,v24,65,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n77_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8565885590144706,16.088239669799805,6.86500146985054,13.753799438476562,24,484,0.18582625687122345,123,2026,v24,65,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n82_rs2026,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8475533067421431,16.639991760253906,7.596728205680847,12.496757507324219,24,353,0.15477438271045685,2026,2026,v24,70,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n82_rs42,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8310700022289861,18.32221794128418,8.189046382904053,15.121849060058594,24,328,0.17346644401550293,42,2026,v24,70,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v24,1000,h1,v24_h1_n82_rs123,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8861624998597623,14.851470947265625,6.486483663320541,11.614593505859375,24,498,0.14948885142803192,123,2026,v24,70,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
