recipe,temp_C,zmin@cycle9_nm,,h1@cycle3_nm,,h1@cycle5_nm,,h1@cycle9_nm,,d1@cycle3_nm,,d1@cycle5_nm,,d1@cycle9_nm,,w@cycle1_nm,,w@cycle3_nm,,w@cycle5_nm,,w@cycle9_nm,
,,Z-predicted,Z-measured,H3-predicted,H3-measured,H5-predicted,H5-measured,H9-predicted,H9-measured,D3-predicted,D3-measured,D5-predicted,D5-measured,D9-predicted,D9-measured,W-predicted,W-measured,W3-predicted,W3-measured,W5-predicted,W5-measured,W9-predicted,W9-measured
B113,-20,2055.202637,,187.0350952,,178.440033,,220.5867004,,44.16394043,,32.6917038,,15.8101263,,355.4002991,,341.3688049,,334.0663147,,294.5326538,
B114,-20,2461.031006,,225.0779572,,204.2598267,,264.7977905,,42.26289749,,29.07224846,,14.37467194,,353.516449,,336.4074097,,328.6838379,,284.0982971,
B116,-20,2662.343018,2810,240.9152832,296,215.0455017,284,265.3560181,280,48.7743454,53.6,33.37442398,45.6,14.62812519,37.7,374.3006592,593,357.903595,625,349.8677368,649,318.6412048,704
B117,-20,3338.346191,,346.1451416,,279.651886,,380.3930969,,99.26469421,,66.88684082,,41.81268311,,573.4489136,,540.2948608,,525.8226929,,525.7633667,
B118,-20,4154.594238,,437.6174622,,334.1593323,,438.528717,,135.5628357,,93.67980194,,62.70291519,,630.8328857,,603.4361572,,583.1811523,,612.2021484,
B119,-20,3727.955811,,34.89299011,,82.11373901,,93.71876526,,124.2418518,,90.95326996,,49.79793167,,602.3241577,,588.3076172,,575.9469604,,556.1323853,
B123,-10,2024.817505,,175.8727722,,169.6381989,,214.8182373,,46.18603516,,33.98404694,,17.56020355,,342.1145935,,327.5730591,,320.8496094,,276.3597412,
B124,-10,2011.718018,,175.9772186,,168.0905304,,213.336731,,44.01585388,,33.038311,,17.08086395,,343.9866028,,327.3753662,,319.5751343,,273.1905518,
B125,-10,2321.048584,2280,224.9275818,313,192.5651398,214,233.7698517,262,36.52958679,52.4,28.9041996,26.9,15.93646431,21.3,302.8722534,446,286.3854065,410,278.7045898,412,225.5215912,410
B126,-10,2555.644287,1800,234.5278473,207,208.6059418,202,272.1424561,234,47.08880997,36,31.27428436,31,14.56468773,16.1,365.2247009,515,347.2007446,473,339.0514526,450,302.4247742,473
B127,-10,3138.657227,3340,334.0777893,340,269.0281982,325,366.6795044,370,86.93076324,86.8,60.38056564,96.7,38.29164886,62,520.4431763,652,487.7808838,687,471.1767883,662,481.6103516,702
B128,-10,4111.916992,4780,430.6566467,513,331.8006897,446,438.9696655,486,125.2218323,122,85.98827362,82.7,58.74164963,89.3,628.8184814,744,588.8621216,724,565.2192993,671,599.5247803,592
B132,-10,1931.485352,3510,168.2926941,166,165.4187927,166,201.7018127,206,39.9069252,37.2,30.39413452,32.2,15.4373312,17.4,324.2941589,553,309.5267334,479,300.4943848,469,248.850769,449
B134,-10,2560.832764,2500,222.7341003,228,205.187973,200,253.3936462,244,54.28455353,33.7,37.98780441,29.8,16.83571815,21.8,369.9456787,514,351.1708679,518,341.7869873,518,304.2622986,526
B135,-10,3107.781006,3180,380.8112488,363,270.3921509,323,323.8294067,343,47.80522919,73.4,57.59385681,73.4,37.84988785,69.5,514.8766479,577,463.1416931,585,432.9219971,558,417.8746948,510
B136,-10,2971.908691,,39.55604172,,96.17811584,,95.98397064,,86.97203827,,64.34340668,,40.09951401,,532.272644,,513.3989868,,503.3041382,,466.7364502,
B137,-10,3861.259033,2180,473.0574951,104,329.1329651,124,374.9622192,197,98.07072449,21.5,85.31318665,29.8,56.53846359,21.5,680.427063,574,639.5406494,610,597.2911377,604,570.0093384,610
B138,-10,4130.741211,4630,458.0317688,466,337.8829346,433,419.0338745,453,103.0478745,95.9,73.87158203,62.8,52.14187241,56.2,640.453125,552,565.7647095,532,533.7028809,539,543.2985229,572
